Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
NS.2150.TSP0035---TSP200X.BS_079_R1	NS.2150.TSP0035---TSP200X.BS_079_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34497.0	0.0	251.0	50.0	15.302779951879874	251.0	251	pass	pass	warn	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0035---TSP200X.BS_079_R2	NS.2150.TSP0035---TSP200X.BS_079_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34497.0	0.0	251.0	50.0	13.520016233295648	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0036---TSP200X.BS_081_R1	NS.2150.TSP0036---TSP200X.BS_081_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30656.0	0.0	251.0	49.0	14.69859081419624	251.0	251	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0036---TSP200X.BS_081_R2	NS.2150.TSP0036---TSP200X.BS_081_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30656.0	0.0	251.0	49.0	13.830897703549061	251.0	251	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0037---TSP200X.BS_083_R1	NS.2150.TSP0037---TSP200X.BS_083_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3195909.0	0.0	251.0	47.0	4.7277733292540605	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0037---TSP200X.BS_083_R2	NS.2150.TSP0037---TSP200X.BS_083_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3195909.0	0.0	251.0	47.0	5.943538636737531	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0038---TSP200X.BS_085_R1	NS.2150.TSP0038---TSP200X.BS_085_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1245574.0	0.0	251.0	47.0	6.3256779605226185	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0038---TSP200X.BS_085_R2	NS.2150.TSP0038---TSP200X.BS_085_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1245574.0	0.0	251.0	48.0	7.381416118191292	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0039---TSP200X.BS_086_R1	NS.2150.TSP0039---TSP200X.BS_086_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3360684.0	0.0	251.0	47.0	4.816364925827771	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0039---TSP200X.BS_086_R2	NS.2150.TSP0039---TSP200X.BS_086_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3360684.0	0.0	251.0	48.0	6.001692058298857	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0040---TSP200X.BS_087_R1	NS.2150.TSP0040---TSP200X.BS_087_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	408980.0	0.0	251.0	46.0	7.8331458751039165	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
