Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
NS.2150.TSP0098---TSP200X.BS_148_R1	95.14213424982938	48.0	235.08142262323852	242	27.27272727272727	2536666.0
NS.2150.TSP0098---TSP200X.BS_148_R2	94.29981936496928	48.0	235.92339892849006	242	36.36363636363637	2514769.0
NS.2150.TSP0099---TSP200X.BS_149_R1	94.93947198541206	46.0	234.85777618738268	242	27.27272727272727	1953393.0
NS.2150.TSP0099---TSP200X.BS_149_R2	94.33843248620266	46.0	235.75141065070312	242	36.36363636363637	1937581.0
NS.2150.TSP0105---TSP200X.BS_155_R1	94.02392038078754	47.0	235.1721478147988	242	27.27272727272727	1444375.0
NS.2150.TSP0105---TSP200X.BS_155_R2	93.84252064032597	47.0	236.13667762045506	242	36.36363636363637	1434207.0
NS.2150.TSP0106---TSP200X.BS_156_R1	93.91325791269696	48.0	234.64751567838263	242	27.27272727272727	1476077.0
NS.2150.TSP0106---TSP200X.BS_156_R2	93.85149285232549	48.0	235.8185882498955	242	36.36363636363637	1466421.0
NS.2150.TSP0107---TSP200X.BS_157_R1	93.87323861752819	47.0	234.7012222880447	242	27.27272727272727	1691418.0
NS.2150.TSP0107---TSP200X.BS_157_R2	94.33992431280316	47.0	236.28085097277722	247	36.36363636363637	1682451.0
NS.2150.TSP0113---TSP200X.BS_163_R1	87.21062187925556	50.0	236.65803449841127	242	36.36363636363637	44060.0
NS.2150.TSP0113---TSP200X.BS_163_R2	88.21999680635079	50.0	237.06900563450967	242	27.27272727272727	43837.0
NS.2150.TSP0114---TSP200X.BS_164_R1	93.94068784513826	48.0	235.25764017026265	247	27.27272727272727	1501210.0
NS.2150.TSP0114---TSP200X.BS_164_R2	93.58937632039566	48.0	236.22018211983843	247	36.36363636363637	1490557.0
NS.2150.TSP0115---TSP200X.BS_165_R1	83.31848656758405	50.0	235.81288386703548	247	45.45454545454545	21329.0
NS.2150.TSP0115---TSP200X.BS_165_R2	85.29328821206994	50.0	237.07266403459298	247	45.45454545454545	21276.0
NS.2150.TSP0121---TSP200X.BS_171_R1	94.44383065839712	48.0	234.62209528061734	242	27.27272727272727	2078471.0
NS.2150.TSP0121---TSP200X.BS_171_R2	94.27139457848982	48.0	235.60572559887981	242	36.36363636363637	2065356.0
NS.2150.TSP0122---TSP200X.BS_172_R1	93.71877794315212	47.0	234.8055323274644	242	18.181818181818183	1380034.0
NS.2150.TSP0122---TSP200X.BS_172_R2	93.76635897750054	47.0	235.9799035727387	242	36.36363636363637	1371189.0
NS.2150.TSP0123---TSP200X.BS_173_R1	93.9902531939325	47.0	234.816858900365	242	27.27272727272727	1659005.0
NS.2150.TSP0123---TSP200X.BS_173_R2	93.92171086504095	47.0	236.13338025209828	247	36.36363636363637	1646818.0
NS.2150.TSP0129---TSP200X.BS_179_R1	94.07467567501465	48.0	235.44604918431384	242	27.27272727272727	1390118.0
NS.2150.TSP0129---TSP200X.BS_179_R2	93.28443506828557	48.0	235.94604717252932	242	36.36363636363637	1377963.0
NS.2150.TSP0130---TSP200X.BS_180_R1	94.51963951597345	48.0	234.897166206115	242	27.27272727272727	2105446.0
NS.2150.TSP0130---TSP200X.BS_180_R2	94.57701162897834	48.0	236.21126393764268	242	36.36363636363637	2092714.0
NS.2150.TSP0131---TSP200X.BS_181_R1	93.7693704333782	48.0	234.65804662516334	242	27.27272727272727	1520681.0
NS.2150.TSP0131---TSP200X.BS_181_R2	94.0035311855261	48.0	235.97797505686927	242	36.36363636363637	1512240.0
NS.2150.TSP0137---TSP200X.BS_187_R1	95.52876599042631	47.0	235.71362346246744	247	27.27272727272727	2908475.0
NS.2150.TSP0137---TSP200X.BS_187_R2	94.72533232476013	47.0	236.3678096679305	247	36.36363636363637	2882499.0
NS.2150.TSP0138---TSP200X.BS_188_R1	93.61787782170458	48.0	235.0490383657985	242	27.27272727272727	1396009.0
NS.2150.TSP0138---TSP200X.BS_188_R2	93.83745445502805	48.0	236.35141653422136	242	36.36363636363637	1387365.0
NS.2150.TSP0139---TSP200X.BS_189_R1	94.81609351166561	47.0	235.412624502808	247	27.27272727272727	2563396.0
NS.2150.TSP0139---TSP200X.BS_189_R2	94.81408698650966	47.0	236.55586081628377	247	36.36363636363637	2547913.0
NS.2150.TSP0145---TSP200X.BS_195_R1	94.34851204866648	46.0	234.16261977142418	242	27.27272727272727	1195402.0
NS.2150.TSP0145---TSP200X.BS_195_R2	93.34223885036027	46.0	235.0920360681889	242	36.36363636363637	1183536.0
NS.2150.TSP0146---TSP200X.BS_196_R1	93.58928759515854	47.0	234.12637099273232	242	27.27272727272727	1310182.0
NS.2150.TSP0146---TSP200X.BS_196_R2	93.52288409347271	48.0	235.23805619673158	242	36.36363636363637	1301428.0
NS.2150.TSP0147---TSP200X.BS_197_R1	94.97234592952192	47.0	234.70609428938093	242	27.27272727272727	2412488.0
NS.2150.TSP0147---TSP200X.BS_197_R2	94.65373424710134	47.0	235.8001148465233	242	36.36363636363637	2394500.0
NS.2150.TSP0149---TSP200X.BS_199_R1	90.6497148503323	45.0	231.74519386487472	237	27.27272727272727	243907.0
NS.2150.TSP0149---TSP200X.BS_199_R2	91.14598146018557	46.0	233.508431122817	242	36.36363636363637	242613.0
