#Coverage	Number of genomic locations
1127.0	103.0
1128.0	116.0
1129.0	50.0
1130.0	185.0
1131.0	9.0
1132.0	52.0
1133.0	35.0
1134.0	16.0
1135.0	16.0
1136.0	24.0
1137.0	59.0
1138.0	92.0
1139.0	13.0
1140.0	12.0
1141.0	76.0
1142.0	7.0
1143.0	16.0
1144.0	2.0
1145.0	2.0
1146.0	3.0
1147.0	2.0
1148.0	41.0
1149.0	2.0
1150.0	1.0
1151.0	1.0
1152.0	2.0
1153.0	5.0
1154.0	1.0
1155.0	7.0
1156.0	9.0
1157.0	21.0
1158.0	12.0
1159.0	15.0
1160.0	55.0
1161.0	91.0
1162.0	13.0
1163.0	7.0
1164.0	24.0
1165.0	13.0
1166.0	4.0
1167.0	6.0
1168.0	44.0
1169.0	42.0
1170.0	26.0
1171.0	37.0
1172.0	99.0
1173.0	105.0
1174.0	128.0
1175.0	169.0
1176.0	64.0
1177.0	75.0
1178.0	70.0
1179.0	71.0
1180.0	16.0
1181.0	33.0
1182.0	64.0
1183.0	26.0
1184.0	72.0
1185.0	60.0
1186.0	74.0
1187.0	45.0
1188.0	35.0
1189.0	36.0
1190.0	130.0
1191.0	32.0
1192.0	98.0
1193.0	33.0
1194.0	63.0
1195.0	69.0
1196.0	57.0
1198.0	9.0
1199.0	55.0
1200.0	27.0
1201.0	4.0
1202.0	4.0
1204.0	6.0
1205.0	2.0
1206.0	5.0
1207.0	4.0
1208.0	3.0
1209.0	5.0
1210.0	26.0
1211.0	11.0
1212.0	15.0
1213.0	65.0
1214.0	82.0
1215.0	139.0
1216.0	79.0
1217.0	32.0
1218.0	27.0
1219.0	12.0
1220.0	7.0
1221.0	59.0
1222.0	55.0
1223.0	21.0
1224.0	13.0
1225.0	10.0
1226.0	20.0
1227.0	15.0
1228.0	51.0
1229.0	130.0
1230.0	7.0
1231.0	23.0
1232.0	33.0
1233.0	5.0
1234.0	12.0
1235.0	42.0
1236.0	14.0
1237.0	92.0
1238.0	17.0
1239.0	63.0
1240.0	57.0
1241.0	46.0
1242.0	11.0
1243.0	14.0
1244.0	20.0
1245.0	44.0
1246.0	47.0
1247.0	33.0
1248.0	5.0
1249.0	22.0
1250.0	6.0
1251.0	8.0
1252.0	6.0
1253.0	23.0
1254.0	23.0
1255.0	25.0
1256.0	10.0
1257.0	16.0
1258.0	12.0
1259.0	16.0
1260.0	51.0
1261.0	28.0
1262.0	104.0
1263.0	54.0
1264.0	155.0
1265.0	15.0
1266.0	17.0
